t_i,dx,team
1,1,1
2,0.3,1
3,0.4,1
4,0.4,1
5,0.5,1
6,0.6,1
7,0.9,1
8,1.2,1
9,1.4,1
10,1.7,1
11,1.9,1
12,2.2,1
13,2.5,1
14,2.8,1
15,3,1
16,3.3,1
17,3.6,1
18,3.8,1
19,4.1,1
20,4.4,1
21,4.6,1
22,4.9,1
23,5.2,1
24,5.4,1
25,5.8,1
26,5.9,1
27,6.2,1
28,6.4,1
29,6.7,1
30,6.9,1
1,0.2,2
2,0.8,2
3,0.9,2
4,1.3,2
5,1.6,2
6,1.8,2
7,2.1,2
8,2.3,2
9,2.7,2
10,2.9,2
11,3.1,2
12,3.3,2
13,3.6,2
14,3.9,2
15,4.1,2
16,4.4,2
17,4.8,2
18,4.9,2
19,5.2,2
20,5.5,2
21,5.8,2
22,6,2
23,6.3,2
24,6.5,2
25,6.9,2
26,7.1,2
1,0.3,3
2,0.4,3
3,0.7,3
4,1,3
5,1.2,3
6,1.5,3
7,1.8,3
8,2,3
9,2.3,3
10,2.6,3
11,2.8,3
12,3.2,3
13,3.4,3
14,3.7,3
15,4,3
16,4.2,3
17,4.6,3
18,4.7,3
19,5.1,3
20,5.2,3
21,5.6,3
22,5.8,3
23,6.1,3
24,6.4,3
25,6.6,3
26,6.9,3
27,7.2,3
1,0.1,4
2,0.2,4
3,0.2,4
4,0.3,4
5,0.3,4
6,0.5,4
7,0.75,4
8,1.05,4
9,1.2,4
10,1.6,4
11,1.6,4
12,2,4
13,2.3,4
14,2.5,4
15,2.8,4
16,3.2,4
17,3.3,4
18,3.4,4
19,3.9,4
20,4.2,4
21,4.5,4
22,4.6,4
23,4.9,4
24,5.1,4
25,5.3,4
26,5.7,4
27,6.2,4
28,6.2,4
29,6.5,4
30,6.8,4
1,0.6,5
2,0.5,5
3,1,5
4,1.1,5
5,1.4,5
6,1.5,5
7,2.4,5
8,2,5
9,2,5
10,2.3,5
11,2.7,5
12,2.9,5
13,2.2,5
14,3.3,5
15,3.6,5
16,3.8,5
17,4,5
18,4.3,5
19,4.6,5
20,4.8,5
21,5,5
22,5.5,5
23,5.6,5
24,5.9,5
25,6,5
26,6.5,5
27,6.6,5
28,6.9,5
29,7.2,5
30,7.4,5
31,7.7,5
32,8,5
33,8.2,5
34,8.5,5
35,8.7,5
36,9,5
37,9.2,5
1,0.6,6
2,0.7,6
3,1,6
4,1.3,6
5,1.5,6
6,1.7,6
7,2.1,6
8,2.2,6
9,2.6,6
10,2.7,6
11,3.1,6
12,3.3,6
13,3.6,6
14,3.8,6
15,4.1,6
16,4.3,6
17,4.6,6
18,4.9,6
19,5.1,6
20,5.4,6
21,5.7,6
22,5.9,6
23,6.2,6
24,6.5,6
25,6.6,6
26,7.1,6
27,7.2,6
28,7.5,6
29,7.7,6
